PLAYERID,FIRSTNAME,LASTNAME,PLAYERNAME,TEAMID,TEAMCITY,TEAMNAME,TEAMABBREVIATION,AVGSHOTQUALITY,AVGMADESHOTQUALITY,AVGMISSEDSHOTQUALITY,MINSHOTQUALITYONMAKE,AVGSHOTQUALITY2PT,AVGMADESHOTQUALITY2PT,AVGMISSEDSHOTQUALITY2PT,AVGSHOTQUALITY3PT,AVGMADESHOTQUALITY3PT,AVGMISSEDSHOTQUALITY3PT,FG2M,FG2M_RANK,FG2A,FG2A_RANK,FG3M,FG3M_RANK,FG3A,FG3A_RANK,FGM,FGM_RANK,FGA,FGA_RANK,FGPCT,FGPCTABOVEEXPECTED,FG3PCT,FG3PCTABOVEEXPECTED,AVGDEFENSIVEHANDHEIGHT,AVGDEFENDERBALLDISTANCE,AVGSHOOTERSPEED,AVGROTATIONDEGREES,AVGDEFENDERPRESSURESCORE,AVGSHOTQUALITY_RANK,AVGMADESHOTQUALITY_RANK,AVGMISSEDSHOTQUALITY_RANK,MINSHOTQUALITYONMAKE_RANK,AVGSHOTQUALITY2PT_RANK,AVGMADESHOTQUALITY2PT_RANK,AVGMISSEDSHOTQUALITY2PT_RANK,AVGSHOTQUALITY3PT_RANK,AVGMADESHOTQUALITY3PT_RANK,AVGMISSEDSHOTQUALITY3PT_RANK,FGPCT_RANK,FGPCTABOVEEXPECTED_RANK,FG3PCT_RANK,FG3PCTABOVEEXPECTED_RANK,AVGDEFENSIVEHANDHEIGHT_RANK,AVGDEFENDERBALLDISTANCE_RANK,AVGSHOOTERSPEED_RANK,AVGROTATIONDEGREES_RANK,AVGDEFENDERPRESSURESCORE_RANK
1630245,Ayo,Dosunmu,Ayo Dosunmu,1610612750,Minnesota,Timberwolves,MIN,0.493,0.551,0.429,0.072,0.57,0.637,0.48,0.37,0.373,0.368,263,84,467,84,123,63,280,81,386,75,747,88,0.517,0.024,0.439,0.069,84.362,40.0,7.408,0.0,0.791,29,46,18,46,30,33,12,39,39,37,25,50,4,5,92,33,4,1,116
1630202,Payton,Pritchard,Payton Pritchard,1610612738,Boston,Celtics,BOS,0.432,0.486,0.384,0.199,0.517,0.576,0.441,0.353,0.361,0.348,294,59,529,59,212,16,562,15,506,31,1091,29,0.464,0.032,0.377,0.024,84.836,33.3,3.69,0.0,0.791,95,95,98,117,81,85,62,95,83,96,78,33,40,40,86,95,106,1,117
1629060,Rui,Hachimura,Rui Hachimura,1610612747,Los Angeles,Lakers,LAL,0.465,0.51,0.416,0.075,0.526,0.582,0.45,0.388,0.392,0.385,191,113,335,113,116,69,262,87,307,119,597,119,0.514,0.049,0.443,0.055,88.556,38.3,3.038,0.0,0.788,61,76,40,48,67,81,40,9,9,8,29,15,3,11,28,51,123,1,118
1641764,Brandin,Podziemski,Brandin Podziemski,1610612744,Golden State,Warriors,GSW,0.45,0.516,0.396,0.043,0.53,0.607,0.44,0.364,0.371,0.36,241,88,454,88,153,40,412,40,394,68,866,59,0.455,0.005,0.371,0.007,75.111,43.9,5.565,0.0,0.785,73,71,68,28,60,59,63,53,47,60,93,81,46,57,125,12,27,1,119
1642263,Reed,Sheppard,Reed Sheppard,1610612745,Houston,Rockets,HOU,0.406,0.447,0.374,0.16,0.49,0.553,0.427,0.355,0.366,0.347,180,109,370,109,227,8,576,11,407,60,946,49,0.43,0.024,0.394,0.039,80.938,45.1,4.722,0.0,0.783,116,116,115,102,105,100,92,89,67,97,118,48,23,24,117,9,66,1,120
1628978,Donte,DiVincenzo,Donte DiVincenzo,1610612750,Minnesota,Timberwolves,MIN,0.402,0.439,0.377,0.102,0.578,0.661,0.495,0.351,0.355,0.349,95,123,191,123,244,6,644,3,339,96,835,65,0.406,0.004,0.379,0.028,80.425,42.8,3.563,0.0,0.775,119,121,112,67,23,24,5,102,102,94,124,84,37,35,119,18,110,1,121
1641739,Toumani,Camara,Toumani Camara,1610612757,Portland,Trail Blazers,POR,0.442,0.507,0.39,0.209,0.578,0.672,0.435,0.378,0.381,0.376,173,119,299,119,219,13,592,9,392,71,891,55,0.44,-0.002,0.37,-0.008,87.268,42.4,3.708,0.0,0.772,81,78,83,119,24,19,74,20,24,18,109,91,49,72,48,20,104,1,122
1630572,Sandro,Mamukelashvili,Sandro Mamukelashvili,1610612761,Toronto,Raptors,TOR,0.512,0.596,0.418,0.093,0.637,0.714,0.488,0.375,0.375,0.376,215,113,335,113,115,70,296,74,330,104,631,114,0.523,0.011,0.389,0.014,84.153,50.1,4.782,0.0,0.772,24,21,34,64,5,6,8,24,34,19,20,72,26,49,94,1,63,1,123
1631221,Collin,Gillespie,Collin Gillespie,1610612756,Phoenix,Suns,PHX,0.395,0.424,0.373,0.167,0.474,0.538,0.421,0.358,0.366,0.353,120,121,264,121,232,7,578,10,352,88,842,63,0.418,0.023,0.401,0.043,77.065,46.0,3.978,0.0,0.769,122,124,116,108,115,109,101,75,65,78,122,52,17,20,124,6,98,1,124
1630193,Immanuel,Quickley,Immanuel Quickley,1610612761,Toronto,Raptors,TOR,0.429,0.472,0.394,0.115,0.495,0.549,0.434,0.371,0.376,0.367,223,97,429,97,178,27,476,27,401,64,905,52,0.443,0.014,0.374,0.003,77.712,42.7,5.16,0.0,0.768,98,108,70,78,103,104,77,37,33,40,104,65,44,59,123,19,45,1,125
