PLAYERID,FIRSTNAME,LASTNAME,PLAYERNAME,TEAMID,TEAMCITY,TEAMNAME,TEAMABBREVIATION,AVGSHOTQUALITY,AVGMADESHOTQUALITY,AVGMISSEDSHOTQUALITY,MINSHOTQUALITYONMAKE,AVGSHOTQUALITY2PT,AVGMADESHOTQUALITY2PT,AVGMISSEDSHOTQUALITY2PT,AVGSHOTQUALITY3PT,AVGMADESHOTQUALITY3PT,AVGMISSEDSHOTQUALITY3PT,FG2M,FG2M_RANK,FG2A,FG2A_RANK,FG3M,FG3M_RANK,FG3A,FG3A_RANK,FGM,FGM_RANK,FGA,FGA_RANK,FGPCT,FGPCTABOVEEXPECTED,FG3PCT,FG3PCTABOVEEXPECTED,AVGDEFENSIVEHANDHEIGHT,AVGDEFENDERBALLDISTANCE,AVGSHOOTERSPEED,AVGROTATIONDEGREES,AVGDEFENDERPRESSURESCORE,AVGSHOTQUALITY_RANK,AVGMADESHOTQUALITY_RANK,AVGMISSEDSHOTQUALITY_RANK,MINSHOTQUALITYONMAKE_RANK,AVGSHOTQUALITY2PT_RANK,AVGMADESHOTQUALITY2PT_RANK,AVGMISSEDSHOTQUALITY2PT_RANK,AVGSHOTQUALITY3PT_RANK,AVGMADESHOTQUALITY3PT_RANK,AVGMISSEDSHOTQUALITY3PT_RANK,FGPCT_RANK,FGPCTABOVEEXPECTED_RANK,FG3PCT_RANK,FG3PCTABOVEEXPECTED_RANK,AVGDEFENSIVEHANDHEIGHT_RANK,AVGDEFENDERBALLDISTANCE_RANK,AVGSHOOTERSPEED_RANK,AVGROTATIONDEGREES_RANK,AVGDEFENDERPRESSURESCORE_RANK
1641729,Brice,Sensabaugh,Brice Sensabaugh,1610612762,Utah,Jazz,UTA,0.437,0.495,0.385,0.033,0.526,0.592,0.437,0.355,0.359,0.353,232,101,415,101,162,35,442,34,394,68,857,62,0.46,0.023,0.367,0.012,89.06,37.7,3.795,0.0,0.817,91,90,95,18,68,71,69,86,93,83,84,51,55,52,24,57,102,1,75
1629628,RJ,Barrett,RJ Barrett,1610612761,Toronto,Raptors,TOR,0.485,0.568,0.402,0.161,0.547,0.63,0.429,0.373,0.375,0.371,305,58,533,58,96,87,283,79,401,64,816,69,0.491,0.006,0.339,-0.034,86.304,32.7,5.474,0.0,0.817,38,35,58,103,39,39,86,33,35,29,44,78,83,93,64,103,32,1,76
1630581,Josh,Giddey,Josh Giddey,1610612741,Chicago,Bulls,CHI,0.453,0.515,0.402,0.058,0.513,0.583,0.439,0.364,0.372,0.36,218,95,434,95,103,79,283,79,321,110,717,95,0.448,-0.005,0.364,0.0,82.376,36.2,6.028,0.0,0.816,72,74,57,34,85,79,65,51,44,59,101,96,59,61,108,70,13,1,77
1631095,Jabari,Smith Jr.,Jabari Smith Jr.,1610612745,Houston,Rockets,HOU,0.461,0.532,0.402,0.218,0.551,0.637,0.445,0.375,0.381,0.372,261,72,486,72,177,28,488,24,438,49,974,43,0.45,-0.011,0.363,-0.012,89.366,40.5,3.068,0.0,0.816,66,61,60,121,37,32,45,25,22,26,99,104,61,74,21,31,122,1,78
1630559,Austin,Reaves,Austin Reaves,1610612747,Los Angeles,Lakers,LAL,0.448,0.515,0.382,0.09,0.524,0.587,0.432,0.347,0.359,0.34,255,95,434,95,118,68,328,65,373,80,762,82,0.49,0.042,0.36,0.013,81.665,35.0,5.959,0.0,0.816,76,73,101,62,70,76,81,108,91,113,45,21,67,50,112,77,15,1,79
1630700,Dyson,Daniels,Dyson Daniels,1610612737,Atlanta,Hawks,ATL,0.539,0.612,0.459,0.067,0.566,0.626,0.483,0.391,0.387,0.392,380,34,660,34,22,116,117,112,402,62,777,80,0.517,-0.022,0.188,-0.203,83.935,41.9,7.0,0.0,0.816,16,16,9,41,33,42,10,5,14,5,25,110,119,119,98,21,6,1,80
202699,Tobias,Harris,Tobias Harris,1610612765,Detroit,Pistons,DET,0.48,0.534,0.431,0.163,0.527,0.583,0.462,0.388,0.392,0.386,227,94,436,94,82,96,223,101,309,117,659,106,0.469,-0.011,0.368,-0.02,86.383,43.8,4.68,0.0,0.816,45,58,17,107,64,80,26,8,7,7,74,103,52,81,63,14,71,1,81
1642847,Jeremiah,Fears,Jeremiah Fears,1610612740,New Orleans,Pelicans,NOP,0.482,0.561,0.418,0.129,0.538,0.621,0.458,0.359,0.369,0.353,336,31,700,31,101,82,306,69,437,50,1006,41,0.434,-0.048,0.33,-0.029,81.805,39.1,7.414,0.0,0.815,42,39,33,86,52,46,30,74,58,76,115,123,95,88,110,43,3,1,82
1630170,Devin,Vassell,Devin Vassell,1610612759,San Antonio,Spurs,SAS,0.422,0.457,0.393,0.045,0.495,0.543,0.442,0.369,0.373,0.366,164,117,323,117,166,34,432,35,330,104,755,83,0.437,0.015,0.384,0.015,90.266,35.5,3.704,0.0,0.815,110,113,72,30,104,107,60,41,37,43,111,63,31,47,11,75,105,1,83
1642271,Kyle,Filipowski,Kyle Filipowski,1610612762,Utah,Jazz,UTA,0.518,0.61,0.425,0.058,0.593,0.678,0.465,0.381,0.382,0.38,249,97,429,97,74,99,228,98,323,109,657,108,0.492,-0.026,0.325,-0.056,86.8,41.2,4.722,0.0,0.815,19,18,24,34,17,17,24,15,21,14,42,117,98,105,58,25,67,1,84
201950,Jrue,Holiday,Jrue Holiday,1610612757,Portland,Trail Blazers,POR,0.42,0.473,0.376,0.016,0.496,0.564,0.419,0.348,0.35,0.347,183,112,347,112,137,47,362,56,320,111,709,96,0.451,0.031,0.378,0.03,83.086,29.6,4.339,0.0,0.815,113,107,113,6,99,92,104,106,108,99,97,35,39,32,104,117,82,1,85
