PLAYERID,PLAYERNAME,TEAMID,TEAMABBREVIATION,FGM,FGA,AVGDEFENSIVEHANDHEIGHT,AVGDEFENDERBALLDISTANCE,AVGSHOOTERSPEED,AVGROTATIONDEGREES,AVGDEFENDERPRESSURESCORE,AVGDEFENSIVEHANDHEIGHT_RANK,AVGDEFENDERBALLDISTANCE_RANK,AVGSHOOTERSPEED_RANK,AVGROTATIONDEGREES_RANK,AVGDEFENDERPRESSURESCORE_RANK
1630183,Jaden McDaniels,1610612750,MIN,417,809,84.075,41.6,4.496,0.0,0.823,96,22,75,1,59
1628415,Dillon Brooks,1610612756,PHX,417,959,86.193,36.4,4.06,0.0,0.822,67,68,94,1,60
1641716,Jarace Walker,1610612754,IND,307,733,88.301,38.9,4.833,0.0,0.821,33,45,59,1,61
1630200,Tre Jones,1610612741,CHI,341,617,86.502,38.8,9.037,0.0,0.821,62,47,1,1,62
1642907,Cedric Coward,1610612763,MEM,305,648,87.615,34.5,4.544,0.0,0.821,42,86,74,1,63
1641824,Matas Buzelis,1610612741,CHI,446,963,88.243,36.2,5.602,0.0,0.82,35,71,25,1,64
1631157,Ryan Rollins,1610612749,MIL,486,1030,88.368,32.3,5.263,0.0,0.82,31,107,40,1,65
1628368,De'Aaron Fox,1610612759,SAS,509,1047,85.137,37.5,4.394,0.0,0.82,82,59,79,1,66
1628381,John Collins,1610612746,LAC,364,659,87.248,38.9,4.149,0.0,0.82,50,46,88,1,67
1630217,Desmond Bane,1610612753,ORL,583,1205,85.763,36.5,6.538,0.0,0.82,73,67,8,1,68
1629012,Collin Sexton,1610612741,CHI,360,742,86.298,33.0,5.656,0.0,0.82,65,100,23,1,69
1628398,Kyle Kuzma,1610612749,MIL,339,689,86.628,37.5,6.004,0.0,0.819,60,58,14,1,70
1630166,Deni Avdija,1610612757,POR,492,1064,86.82,33.8,5.782,0.0,0.818,57,90,19,1,71
1628401,Derrick White,1610612738,BOS,437,1108,82.541,36.0,3.439,0.0,0.818,107,74,115,1,72
1642844,Dylan Harper,1610612759,SAS,331,656,85.116,41.0,6.03,0.0,0.817,83,26,12,1,73
1628970,Miles Bridges,1610612766,CHA,479,1042,85.062,36.2,5.055,0.0,0.817,84,69,50,1,74
1641729,Brice Sensabaugh,1610612762,UTA,394,857,89.06,37.7,3.795,0.0,0.817,24,57,102,1,75
1629628,RJ Barrett,1610612761,TOR,401,816,86.304,32.7,5.474,0.0,0.817,64,103,32,1,76
1630581,Josh Giddey,1610612741,CHI,321,717,82.376,36.2,6.028,0.0,0.816,108,70,13,1,77
1631095,Jabari Smith Jr.,1610612745,HOU,438,974,89.366,40.5,3.068,0.0,0.816,21,31,122,1,78
1630559,Austin Reaves,1610612747,LAL,373,762,81.665,35.0,5.959,0.0,0.816,112,77,15,1,79
1630700,Dyson Daniels,1610612737,ATL,402,777,83.935,41.9,7.0,0.0,0.816,98,21,6,1,80
202699,Tobias Harris,1610612765,DET,309,659,86.383,43.8,4.68,0.0,0.816,63,14,71,1,81
1642847,Jeremiah Fears,1610612740,NOP,437,1006,81.805,39.1,7.414,0.0,0.815,110,43,3,1,82
1630170,Devin Vassell,1610612759,SAS,330,755,90.266,35.5,3.704,0.0,0.815,11,75,105,1,83
1642271,Kyle Filipowski,1610612762,UTA,323,657,86.8,41.2,4.722,0.0,0.815,58,25,67,1,84
201950,Jrue Holiday,1610612757,POR,320,709,83.086,29.6,4.339,0.0,0.815,104,117,82,1,85
1641708,Amen Thompson,1610612745,HOU,557,1044,81.452,45.1,6.182,0.0,0.814,115,8,11,1,86
1642270,Donovan Clingan,1610612757,POR,356,684,84.573,46.9,2.933,0.0,0.813,89,4,125,1,87
